0.93539	0.451678	0.962219	1.41592	-0.780276	0.596212	-0.405941	1.06259	-0.990433	-0.775071	0.279527	1.28834	0.83532	-0.272819	-0.835805	1.21275	
0.756861	0.00732536	0.595857	0.963296	-0.277412	-0.576151	0.362719	0.735169	-0.202523	0.481294	-0.0504826	0.524603	-0.276926	0.0875315	-0.908094	0.953407	
-0.155825	-0.65227	-0.396174	0.778903	0.59456	-0.366899	0.744858	1.02124	-0.701772	0.988137	0.643807	1.37236	0.263037	0.0310318	-0.99249	1.02722	
-0.400337	-0.972922	-0.565524	1.19443	0.814729	0.696936	0.910035	1.4063	0.557795	0.974919	-0.864809	1.41757	-0.972188	-0.698933	0.520298	1.30551	
-0.191583	-0.294475	0.185648	0.397347	-0.28731	0.929933	-0.691123	1.19372	-0.210184	-0.225408	0.453909	0.548653	0.689076	-0.410049	0.051566	0.803508	
-0.22286	0.854986	-0.127765	0.892744	0.725356	0.24072	-0.760906	1.07846	-0.0560864	-0.319561	0.059684	0.329889	-0.44641	-0.776145	0.828987	1.22021	
-0.454494	-0.015116	-0.55316	0.716086	-0.019397	0.909887	0.303937	0.959504	0.515007	-0.129509	0.105762	0.541471	-0.0411163	-0.765262	0.14346	0.779678	
-0.893695	-0.354979	-0.190037	0.980211	0.816867	0.618274	-0.483408	1.13279	-0.740307	-0.0133463	-0.242999	0.779282	0.817135	-0.24995	0.916445	1.25302	
0.43694	-0.42439	0.246871	0.657243	0.623748	-0.374984	-0.228579	0.762839	-0.31214	0.631538	0.33857	0.781602	-0.748547	0.167836	-0.356862	0.846075	
-0.241162	-0.0830062	-0.392772	0.468315	0.82113	-0.0227646	0.51158	0.967722	-0.783876	-0.21282	0.740374	1.09905	0.203909	0.318591	-0.859181	0.938761	
